# nhmmer :: search a DNA model, alignment, or sequence against a DNA database
# HMMER 3.4 (Aug 2023); http://hmmer.org/
# Copyright (C) 2023 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query file:                      /opt/nesi/CS400_centos7_bdw/CheckM/1.2.3-foss-2023a-Python-3.11.6/data/hmms_ssu/SSU_euk.hmm
# target sequence database:        -
# output directed to file:         /nesi/nobackup/uoo04534/Norway/7_quality_second_check/6109_072_S129/ssu_finder/ssu.euk.txt
# hits tabular output:             /nesi/nobackup/uoo04534/Norway/7_quality_second_check/6109_072_S129/ssu_finder/ssu.euk.table.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 1e-05
# number of worker threads:        16
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       silva.eukarya  [M=1734]
Scores for complete hits:
    E-value  score  bias  Sequence                              start    end  Description
    ------- ------ -----  --------                              -----  -----  -----------
          0 1615.9  33.6  NODE_1673_length_3345_cov_4.424113      926   2655 
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  126.3  10.2     5e-36       866      1202 ..       328         5 ..       337         2 ..       337    0.87

>> NODE_30653_length_1057_cov_2.940816  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  124.7   3.8   1.6e-35      1247      1628 ..         4       366 ..         2       387 ..      1057    0.85

>> NODE_69244_length_783_cov_1.720963  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  124.6  25.2   1.6e-35       852      1202 ..       363        26 ..       379        19 ..       783    0.85

>> NODE_25613_length_1132_cov_14.159242  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  121.3   5.4   1.6e-34      1247      1628 ..         5       367 ..         2       388 ..      1132    0.84

>> NODE_13264_length_1463_cov_3.969697  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  120.0   7.5   3.9e-34      1247      1626 ..         4       368 ..         2       389 ..      1463    0.87

>> NODE_555581_length_367_cov_5.724138  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  119.2   9.8   7.1e-34      1089      1448 ..       357         1 ..       364         1 ..       367    0.83

>> NODE_69983_length_780_cov_3.260313  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  118.6   9.5   1.1e-33       849      1169 ..       308         1 ..       330         1 ..       780    0.87

>> NODE_185456_length_553_cov_1.430672  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  118.4   6.2   1.2e-33      1247      1626 ..       553       189 ..       553       169 ..       553    0.88

>> NODE_435775_length_402_cov_21.172308  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  118.1   7.1   1.5e-33      1246      1626 ..         3       368 ..         1       380 [.       402    0.88

>> NODE_551359_length_369_cov_12.804795  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  114.7   6.7   1.5e-32      1247      1625 ..       366         4 ..       368         1 ..       369    0.87

>> NODE_102104_length_683_cov_2.912541  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  111.6   2.6   1.4e-31      1396      1652 ..       680       433 ..       683       410 ..       683    0.87

>> NODE_555579_length_367_cov_32.975862  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  111.4   7.2   1.6e-31      1089      1393 ..        38       333 ..        18       353 ..       367    0.81

>> NODE_555625_length_362_cov_19.235088  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  109.6   8.4   5.4e-31      1247      1620 ..         6       362 .]         2       362 .]       362    0.89

>> NODE_432962_length_403_cov_2.220859  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  109.2   5.3   7.4e-31      1246      1628 ..         2       366 ..         1       389 [.       403    0.86

>> NODE_555721_length_348_cov_5.531365  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  107.8   2.8   1.9e-30      1397      1636 ..         5       235 ..         1       274 [.       348    0.88

>> NODE_64016_length_805_cov_2.559066  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  106.2   1.8   5.8e-30      1246      1624 ..       762       399 ..       782       379 ..       805    0.87

>> NODE_555812_length_338_cov_11.570881  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  104.0   8.2   2.8e-29      1089      1419 ..         8       329 ..         3       337 ..       338    0.78

>> NODE_28832_length_1081_cov_5.266932  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  103.3  12.1   4.5e-29       866      1161 ..       799      1081 .]       778      1081 .]      1081    0.81

>> NODE_556499_length_256_cov_24.329609  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  101.7   4.9   1.4e-28      1089      1313 ..        25       252 ..         7       256 .]       256    0.86

>> NODE_556708_length_237_cov_8.731250  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  101.4   4.8   1.6e-28      1089      1314 ..       232         2 ..       236         1 ..       237    0.86

>> NODE_556469_length_259_cov_10.241758  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  100.1   6.4     4e-28      1089      1319 ..       246        15 ..       256         4 ..       259    0.85

>> NODE_18132_length_1295_cov_12.020525  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   99.1  12.0   8.3e-28       852      1157 ..       294         1 ..       314         1 ..      1295    0.84

>> NODE_556728_length_236_cov_10.798742  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   98.1   5.4   1.7e-27      1089      1313 ..         6       233 ..         2       236 .]       236    0.89

>> NODE_556864_length_225_cov_13.155405  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   97.8   3.5   2.1e-27      1093      1311 ..       224         3 ..       225         1 ..       225    0.89

>> NODE_556410_length_266_cov_25.947090  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   97.3   4.3   2.8e-27      1089      1313 ..        36       263 ..        16       266 .]       266    0.90

>> NODE_556875_length_224_cov_12.435374  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   94.3   3.8   2.3e-26       976      1204 ..       223         8 ..       224         2 ..       224    0.81

>> NODE_555855_length_332_cov_2.443137  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   93.6   4.8   3.6e-26      1113      1452 ..         1       332 []         1       332 []       332    0.80

>> NODE_555902_length_326_cov_3.779116  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   92.2   5.7   9.9e-26      1279      1620 ..         2       326 .]         1       326 []       326    0.87

>> NODE_48235_length_892_cov_16.266258  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   91.4   7.5   1.7e-25       867      1138 ..       630       885 ..       609       892 .]       892    0.82

>> NODE_556762_length_233_cov_4.185897  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   91.4   2.9   1.8e-25      1093      1315 ..         2       231 ..         1       233 []       233    0.85

>> NODE_556468_length_259_cov_11.802198  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   90.4   3.4   3.3e-25      1365      1625 ..       258         5 ..       259         1 ..       259    0.94

>> NODE_556454_length_261_cov_35.967391  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   87.8   8.7   2.1e-24       867      1130 ..       253         1 ..       259         1 ..       261    0.84

>> NODE_555845_length_333_cov_9.601562  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   87.4   7.1   2.8e-24      1247      1582 ..       329        10 ..       332         2 ..       333    0.88

>> NODE_555869_length_330_cov_1.786561  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   87.2   6.6   3.3e-24      1247      1581 ..         4       322 ..         2       328 ..       330    0.87

>> NODE_556727_length_236_cov_14.660377  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   84.6   6.0     2e-23      1089      1312 ..        10       234 ..         4       236 .]       236    0.85

>> NODE_187098_length_551_cov_2.795359  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   84.5   9.9   2.1e-23       867      1137 ..       287       542 ..       267       550 ..       551    0.81

>> NODE_460271_length_394_cov_6.041009  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   83.2   6.6   5.2e-23      1363      1626 ..        17       274 ..         4       294 ..       394    0.92

>> NODE_556328_length_276_cov_13.437186  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   82.9   8.6   6.4e-23       864      1129 ..       254         1 ..       274         1 ..       276    0.85

>> NODE_555959_length_320_cov_11.818930  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   81.2   6.2     2e-22      1113      1441 ..       320         2 ..       320         1 ..       320    0.82

>> NODE_384998_length_421_cov_4.706395  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   80.4  11.9   3.7e-22       841      1130 ..       142       421 .]       122       421 .]       421    0.80

>> NODE_556018_length_315_cov_6.941176  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   79.9   5.9   5.1e-22      1119      1441 ..         1       314 [.         1       315 []       315    0.80

>> NODE_197466_length_540_cov_2.660907  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   79.7  10.7   5.8e-22       852      1128 ..       265         1 ..       285         1 ..       540    0.82

>> NODE_856_length_4535_cov_19.581875  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   79.7   5.2   5.8e-22      1364      1624 ..         3       257 ..         1       277 [.      4535    0.93

>> NODE_555718_length_349_cov_10.955882  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   78.8   4.5   1.1e-21      1364      1626 ..         4       260 ..         1       280 [.       349    0.92

>> NODE_557164_length_206_cov_3.341085  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   78.2   7.3   1.7e-21       949      1161 ..         8       206 .]         3       206 .]       206    0.85

>> NODE_556038_length_313_cov_3.093220  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   77.5   6.7   2.7e-21      1247      1571 ..       310         2 ..       312         1 ..       313    0.87

>> NODE_557054_length_212_cov_6.014815  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   77.5   3.8   2.8e-21      1113      1315 ..         1       206 [.         1       211 [.       212    0.87

>> NODE_557121_length_209_cov_1.492424  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   76.9   5.5   4.1e-21       948      1159 ..       197         1 ..       205         1 ..       209    0.83

>> NODE_556974_length_218_cov_2.056738  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   76.9   2.6   4.1e-21      1111      1316 ..         1       214 [.         1       218 []       218    0.83

>> NODE_556409_length_266_cov_74.306878  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   76.7   5.3   4.7e-21      1364      1622 ..        14       266 .]         2       266 .]       266    0.93

>> NODE_556229_length_287_cov_3.085714  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   76.1  10.8     7e-21       867      1130 ..       253         1 ..       274         1 ..       287    0.85

>> NODE_556458_length_260_cov_42.049180  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   75.1  14.1   1.5e-20       886      1156 ..         1       259 [.         1       260 []       260    0.86

>> NODE_556813_length_229_cov_2.888158  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   74.8   4.4   1.8e-20      1426      1626 ..       228        33 ..       229        21 ..       229    0.95

>> NODE_16155_length_1354_cov_21.691464  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   74.7   4.4   1.9e-20      1364      1624 ..        34       288 ..        12       308 ..      1354    0.89

>> NODE_557143_length_207_cov_4.061538  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   73.7   2.3   3.9e-20      1113      1311 ..         1       205 [.         1       207 []       207    0.82

>> NODE_557337_length_198_cov_2.206612  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   72.1   7.0   1.2e-19       955      1157 ..         8       197 ..         1       198 []       198    0.80

>> NODE_557210_length_204_cov_1.362205  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   72.0   2.6   1.2e-19      1113      1311 ..         1       202 [.         1       204 []       204    0.89

>> NODE_336982_length_443_cov_0.846995  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   68.3   7.2   1.6e-18      1417      1624 ..       419       218 ..       431       197 ..       443    0.93

>> NODE_557407_length_194_cov_20.564103  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   67.9   7.8   2.2e-18       955      1157 ..       191         2 ..       193         1 ..       194    0.81

>> NODE_559015_length_125_cov_67.583333  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   67.8   5.0   2.4e-18      1089      1202 ..       117         5 ..       122         2 ..       125    0.95

>> NODE_35269_length_1001_cov_16.839827  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   66.7   8.5   4.9e-18       289       621 ..        17       328 ..         7       354 ..      1001    0.75

>> NODE_557015_length_215_cov_2.275362  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   66.1   1.2   7.2e-18      1443      1629 ..       215        34 ..       215        14 ..       215    0.93

>> NODE_557262_length_202_cov_25.728000  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   66.0   9.1   8.1e-18       948      1152 ..         9       201 ..         3       202 .]       202    0.78

>> NODE_556828_length_227_cov_17.273333  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   65.7   6.1   9.9e-18       904      1136 ..         2       218 ..         1       227 []       227    0.79

>> NODE_559512_length_112_cov_31.742857  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   64.9   4.8   1.7e-17      1089      1191 ..       107         6 ..       111         1 ..       112    0.94

>> NODE_557645_length_183_cov_3.207547  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   62.2   3.5   1.1e-16       948      1130 ..        13       181 ..         5       183 .]       183    0.82

>> NODE_35498_length_999_cov_1.926247  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   61.6   4.8   1.7e-16       835      1036 ..       251        53 ..       267        10 ..       999    0.84

>> NODE_556855_length_226_cov_1.926174  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   61.1   9.2   2.5e-16       900      1130 ..         7       226 .]         1       226 []       226    0.78

>> NODE_273893_length_478_cov_1.588529  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   60.9   8.3   2.8e-16       857      1030 ..       297       470 ..       271       477 ..       478    0.91

>> NODE_557445_length_193_cov_1.801724  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   60.8   4.9   3.1e-16       949      1138 ..        11       185 ..         4       193 .]       193    0.79

>> NODE_557835_length_172_cov_6.852632  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   60.3   6.9   4.3e-16       955      1130 ..         6       169 ..         1       172 []       172    0.79

>> NODE_556074_length_309_cov_27.900862  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   59.8   4.4   6.1e-16      1259      1579 ..         4       308 ..         1       309 []       309    0.84

>> NODE_557673_length_181_cov_7.067308  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   59.7   6.6   6.6e-16       948      1130 ..        10       181 .]         4       181 .]       181    0.78

>> NODE_557189_length_205_cov_2.609375  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   59.5   4.8   7.3e-16      1119      1317 ..       205         5 ..       205         1 ..       205    0.82

>> NODE_108383_length_669_cov_3.785473  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   59.1   3.5   9.6e-16       877      1021 ..       521       665 ..       501       669 .]       669    0.92

>> NODE_557860_length_170_cov_11.483871  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   59.1   6.5   9.7e-16       955      1130 ..         5       168 ..         2       170 .]       170    0.78

>> NODE_380248_length_423_cov_1.803468  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   58.9   8.4   1.1e-15       853      1026 ..       221        48 ..       244        27 ..       423    0.90

>> NODE_557850_length_171_cov_38.361702  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   58.9   6.8   1.1e-15       955      1130 ..         8       171 .]         1       171 []       171    0.79

>> NODE_557891_length_168_cov_5.142857  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   58.5   6.6   1.5e-15       955      1130 ..       164         1 ..       167         1 ..       168    0.77

>> NODE_559104_length_122_cov_24.733333  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   57.3   3.8   3.3e-15      1095      1213 ..       122         5 ..       122         2 ..       122    0.95

>> NODE_557837_length_172_cov_6.452632  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   57.2   6.3   3.7e-15       952      1130 ..         2       169 ..         1       172 []       172    0.82

>> NODE_556182_length_293_cov_11.375000  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   57.0   5.5     4e-15      1258      1565 ..       292         1 ..       293         1 ..       293    0.84

>> NODE_559192_length_120_cov_8.093023  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   57.0   4.0   4.2e-15      1089      1188 ..        99         1 ..       113         1 ..       120    0.95

>> NODE_559833_length_104_cov_13.518519  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   56.5   4.4     6e-15      1089      1188 ..        99         1 ..       103         1 ..       104    0.95

>> NODE_557522_length_188_cov_5.738739  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   56.2   2.7   7.2e-15      1139      1313 ..       184         6 ..       187         1 ..       188    0.86

>> NODE_557808_length_173_cov_7.968750  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   56.1   3.8   7.9e-15      1135      1297 ..       169         2 ..       172         1 ..       173    0.88

>> NODE_557458_length_192_cov_1.452174  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !   54.9   3.6   1.7e-14      1135      1313 ..         6       189 ..         2       192 .]       192    0.87

>> NODE_557346_length_197_cov_14.050000  
