# nhmmer :: search a DNA model, alignment, or sequence against a DNA database
# HMMER 3.4 (Aug 2023); http://hmmer.org/
# Copyright (C) 2023 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query file:                      /opt/nesi/CS400_centos7_bdw/CheckM/1.2.3-foss-2023a-Python-3.11.6/data/hmms_ssu/SSU_bacteria.hmm
# target sequence database:        -
# output directed to file:         /nesi/nobackup/uoo04534/Norway/7_quality_second_check/6109_072_S129/ssu_finder/ssu.bacteria.txt
# hits tabular output:             /nesi/nobackup/uoo04534/Norway/7_quality_second_check/6109_072_S129/ssu_finder/ssu.bacteria.table.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 1e-05
# number of worker threads:        16
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       bacteria  [M=1523]
Scores for complete hits:
    E-value  score  bias  Sequence                              start    end  Description
    ------- ------ -----  --------                              -----  -----  -----------
          0 1381.3  33.4  NODE_3693_length_2416_cov_4.865327      472   2019 
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  464.9  11.8  1.7e-137       851      1337 ..         1       489 [.         1       490 []       490    0.98

>> NODE_25613_length_1132_cov_14.159242  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  464.0  10.2    3e-137      1013      1515 ..         2       502 ..         1       510 [.      1132    0.98

>> NODE_69215_length_783_cov_2.383853  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  461.9   8.0  1.3e-136       930      1514 ..       783       198 ..       783       189 ..       783    0.93

>> NODE_30653_length_1057_cov_2.940816  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  457.6   8.3  2.7e-135      1013      1515 ..         1       503 [.         1       512 [.      1057    0.97

>> NODE_13264_length_1463_cov_3.969697  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  455.6  13.1  1.1e-134      1013      1514 ..         1       504 [.         1       513 [.      1463    0.98

>> NODE_273893_length_478_cov_1.588529  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  453.9  16.5  3.5e-134       345       815 ..         1       472 [.         1       478 []       478    0.99

>> NODE_229907_length_510_cov_4.718245  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  448.4  13.1  1.6e-132      1013      1513 ..       509         7 ..       510         2 ..       510    0.97

>> NODE_286478_length_470_cov_2.687023  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  445.6  17.6  1.1e-131       330       797 ..       470         2 ..       470         1 ..       470    0.99

>> NODE_235987_length_505_cov_4.245327  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  445.4  32.5  1.3e-131       251       740 ..         1       505 []         1       505 []       505    0.98

>> NODE_280058_length_474_cov_6.430730  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  443.6  19.2  4.5e-131       335       805 ..       474         2 ..       474         1 ..       474    0.99

>> NODE_283259_length_472_cov_19.792405  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  443.5  14.2  4.6e-131       620      1083 ..         2       471 ..         1       472 []       472    0.96

>> NODE_195526_length_542_cov_2.081720  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  441.7   9.2  1.7e-130       527      1064 ..       542         1 ..       542         1 ..       542    0.94

>> NODE_88457_length_718_cov_9.736349  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  436.1  23.4  8.3e-129        29       542 ..       170       718 .]       149       718 .]       718    0.91

>> NODE_64016_length_805_cov_2.559066  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  435.7   2.7  1.1e-128      1010      1514 ..       767       270 ..       789       261 ..       805    0.95

>> NODE_49222_length_886_cov_1.417800  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  434.4  14.0  2.8e-128        30       621 ..       176       884 ..       155       886 .]       886    0.90

>> NODE_316776_length_453_cov_1.247340  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  427.0   9.3  4.6e-126       920      1369 ..       453         1 ..       453         1 ..       453    0.97

>> NODE_315196_length_454_cov_1.007958  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  423.0   5.0  7.2e-125       924      1372 ..       454         1 ..       454         1 ..       454    0.96

>> NODE_107065_length_672_cov_1.689076  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  409.7  21.9  7.8e-121        31       598 ..        83       672 .]        62       672 .]       672    0.91

>> NODE_435775_length_402_cov_21.172308  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  394.0   8.3  4.1e-116      1014      1409 ..         2       399 ..         1       402 []       402    0.99

>> NODE_432962_length_403_cov_2.220859  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  389.8   5.4  8.1e-115      1015      1413 ..         2       399 ..         1       403 []       403    0.98

>> NODE_384998_length_421_cov_4.706395  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  376.6  14.1  7.3e-111       484       897 ..         1       421 []         1       421 []       421    0.97

>> NODE_551359_length_369_cov_12.804795  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  376.6   7.0  7.8e-111      1013      1379 ..       369         2 ..       369         1 ..       369    0.99

>> NODE_432918_length_403_cov_6.852761  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  374.5  11.4  3.2e-110       686      1081 ..         2       403 .]         1       403 []       403    0.95

>> NODE_354804_length_434_cov_15.495798  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  371.3  18.7  3.1e-109       306       713 ..       433         2 ..       434         1 ..       434    0.97

>> NODE_220530_length_518_cov_18.435374  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  367.8  20.4  3.5e-108        37       487 ..         7       517 ..         2       518 .]       518    0.89

>> NODE_324873_length_449_cov_0.930108  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  365.2  22.0  2.1e-107       357       778 ..       449         1 ..       449         1 ..       449    0.97

>> NODE_555625_length_362_cov_19.235088  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  363.1   8.6  8.8e-107      1012      1372 ..         2       362 .]         1       362 []       362    0.99

>> NODE_16155_length_1354_cov_21.691464  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  355.4   9.6    2e-104      1092      1514 ..         2       427 ..         1       436 [.      1354    0.97

>> NODE_432922_length_403_cov_3.355828  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  353.9  16.6  5.2e-104       399       797 ..         1       401 [.         1       403 []       403    0.98

>> NODE_380248_length_423_cov_1.803468  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  344.9   9.3  2.8e-101       450       853 ..       408         1 ..       419         1 ..       423    0.96

>> NODE_555579_length_367_cov_32.975862  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  344.6   6.1  3.6e-101       821      1185 ..         3       366 ..         1       367 []       367    0.94

>> NODE_856_length_4535_cov_19.581875  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  337.4  10.4   5.3e-99      1123      1514 ..         3       396 ..         1       405 [.      4535    0.97

>> NODE_555581_length_367_cov_5.724138  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  336.1   9.8   1.3e-98       848      1205 ..       365         1 ..       367         1 ..       367    0.91

>> NODE_460271_length_394_cov_6.041009  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  331.7  15.5   2.6e-97      1109      1495 ..         4       391 ..         1       394 []       394    0.98

>> NODE_555825_length_337_cov_12.196154  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  329.3  10.8   1.5e-96       642       969 ..       336         4 ..       337         1 ..       337    0.97

>> NODE_555845_length_333_cov_9.601562  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  328.0   8.0   3.7e-96      1013      1342 ..       332         1 ..       333         1 ..       333    0.99

>> NODE_442142_length_400_cov_1.386997  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  323.0   7.1   1.2e-94       706      1087 ..       398         3 ..       400         1 ..       400    0.88

>> NODE_35379_length_1000_cov_3.400867  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  322.8  16.7   1.4e-94        28       414 ..       414         2 ..       435         1 ..      1000    0.90

>> NODE_555686_length_354_cov_3.642599  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  322.7  18.1   1.5e-94       460       810 ..       354         3 ..       354         1 ..       354    0.99

>> NODE_555902_length_326_cov_3.779116  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  321.1   5.9   4.2e-94      1047      1372 ..         1       326 []         1       326 []       326    0.99

>> NODE_555812_length_338_cov_11.570881  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  320.4   7.8     7e-94       850      1185 ..         2       337 ..         1       338 []       338    0.94

>> NODE_555710_length_351_cov_6.664234  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  316.1  18.6   1.4e-92       460       807 ..         1       349 [.         1       351 []       351    0.99

>> NODE_547250_length_370_cov_18.334471  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  313.7  15.2   7.2e-92       382       744 ..         1       369 [.         1       370 []       370    0.98

>> NODE_556038_length_313_cov_3.093220  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  308.5   6.6   2.7e-90      1013      1323 ..       313         2 ..       313         1 ..       313    0.99

>> NODE_555832_length_336_cov_6.849421  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  307.9  16.7   4.1e-90       479       810 ..       335         3 ..       336         1 ..       336    0.99

>> NODE_555869_length_330_cov_1.786561  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  307.1   7.0   7.3e-90      1013      1339 ..         1       329 [.         1       330 []       330    0.98

>> NODE_555718_length_349_cov_10.955882  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  305.5   9.8   2.2e-89      1122      1465 ..         3       349 .]         1       349 []       349    0.98

>> NODE_556074_length_309_cov_27.900862  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  303.7   4.5   7.8e-89      1025      1332 ..         1       309 []         1       309 []       309    0.99

>> NODE_555855_length_332_cov_2.443137  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  302.3   5.1     2e-88       880      1209 ..         1       332 []         1       332 []       332    0.96

>> NODE_555959_length_320_cov_11.818930  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  294.3   6.4   5.2e-86       880      1199 ..       320         1 ..       320         1 ..       320    0.94

>> NODE_555735_length_347_cov_2.503704  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  285.7  15.2   2.2e-83       372       710 ..       347         3 ..       347         1 ..       347    0.97

>> NODE_35573_length_998_cov_5.279045  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  285.0  14.6   3.5e-83        28       380 ..       616       998 .]       595       998 .]       998    0.88

>> NODE_556018_length_315_cov_6.941176  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  284.1   6.0   6.5e-83       886      1199 ..         1       315 []         1       315 []       315    0.94

>> NODE_929_length_4344_cov_2.196625  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  283.8  10.5   8.1e-83        32       390 ..      3953      4344 .]      3931      4344 .]      4344    0.90

>> NODE_556071_length_310_cov_1.901288  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  283.7  11.2   8.7e-83       484       792 ..       310         1 ..       310         1 ..       310    0.99

>> NODE_555987_length_318_cov_8.294606  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  280.9  13.0   5.8e-82       491       806 ..         1       317 [.         1       318 []       318    0.99

>> NODE_68483_length_786_cov_2.956276  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  280.8   8.7   6.3e-82        27       371 ..       430       785 ..       410       786 .]       786    0.92

>> NODE_556182_length_293_cov_11.375000  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  276.7   5.5   1.1e-80      1026      1317 ..       293         1 ..       293         1 ..       293    0.99

>> NODE_556039_length_313_cov_3.059322  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  274.5  19.2   5.3e-80       251       546 ..         1       313 []         1       313 []       313    0.97

>> NODE_1673_length_3345_cov_4.424113  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  268.8  11.6   2.8e-78       637      1504 ..      1776      2700 ..      1755      2719 ..      3345    0.74

>> NODE_555847_length_333_cov_2.984375  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  267.7  11.8   5.7e-78       339       666 ..       333         1 ..       333         1 ..       333    0.98

>> NODE_555828_length_337_cov_1.173077  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  263.7  11.8   9.6e-77        36       362 ..        10       337 .]         2       337 .]       337    0.95

>> NODE_556468_length_259_cov_11.802198  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  262.9   3.3   1.6e-76      1124      1380 ..       258         2 ..       259         1 ..       259    0.99

>> NODE_336982_length_443_cov_0.846995  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  262.4  11.0   2.3e-76      1152      1516 ..       443        84 ..       443        76 ..       443    0.95

>> NODE_556409_length_266_cov_74.306878  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  261.3   6.1   4.9e-76      1111      1374 ..         2       266 .]         1       266 []       266    0.99

>> NODE_556494_length_257_cov_2.172222  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  260.3   8.5   9.6e-76       294       549 ..         2       257 .]         1       257 []       257    0.99

>> NODE_556357_length_272_cov_13.194872  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  259.4  16.3   1.9e-75       295       560 ..       271         1 ..       272         1 ..       272    0.98

>> NODE_556156_length_299_cov_4.378378  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  259.2  14.5   2.1e-75       479       775 ..       298         1 ..       299         1 ..       299    0.99

>> NODE_556111_length_306_cov_2.655022  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  255.9  14.5   2.1e-74       460       764 ..         1       306 []         1       306 []       306    0.99

>> NODE_556410_length_266_cov_25.947090  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  254.4   5.5   6.1e-74       822      1085 ..         2       266 .]         1       266 []       266    0.96

>> NODE_347234_length_438_cov_0.927978  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  249.8  16.6   1.5e-72        32       358 ..       355         1 ..       375         1 ..       438    0.89

>> NODE_556278_length_282_cov_1.341463  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  248.5  15.0   3.5e-72       519       796 ..         2       280 ..         1       282 []       282    0.99

>> NODE_556110_length_306_cov_2.938865  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  246.9  12.0   1.1e-71       380       679 ..       305         1 ..       306         1 ..       306    0.98

>> NODE_556328_length_276_cov_13.437186  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  246.6   9.9   1.3e-71       626       896 ..       276         1 ..       276         1 ..       276    0.97

>> NODE_555979_length_319_cov_3.909091  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  246.6  11.7   1.4e-71       367       679 ..         2       319 .]         1       319 []       319    0.98

>> NODE_556229_length_287_cov_3.085714  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  246.4  11.7   1.5e-71       623       897 ..       281         1 ..       286         1 ..       287    0.96

>> NODE_556499_length_256_cov_24.329609  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  246.4   5.2   1.5e-71       832      1084 ..         1       254 [.         1       256 []       256    0.96

>> NODE_556214_length_289_cov_6.839623  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  244.6   5.8   5.6e-71       896      1182 ..         1       289 []         1       289 []       289    0.95

>> NODE_556469_length_259_cov_10.241758  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  241.5   7.5   4.7e-70       843      1101 ..       259         2 ..       259         1 ..       259    0.90

>> NODE_556282_length_281_cov_3.524510  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  241.5  13.6   4.8e-70       505       784 ..         1       281 []         1       281 []       281    0.99

>> NODE_556226_length_287_cov_5.295238  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  241.1  12.4     6e-70       504       789 ..         1       287 []         1       287 []       287    0.99

>> NODE_556458_length_260_cov_42.049180  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  238.3  14.6   4.4e-69       670       923 ..         1       260 []         1       260 []       260    0.96

>> NODE_556393_length_269_cov_1.286458  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  235.6  11.2   2.8e-68       497       764 ..         1       269 []         1       269 []       269    0.99

>> NODE_227515_length_512_cov_2.560920  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  233.6   5.1   1.1e-67        30       330 ..       209       512 .]       189       512 .]       512    0.92

>> NODE_19276_length_1265_cov_3.538721  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  233.0   9.7   1.8e-67        27       345 ..       911      1265 .]       891      1265 .]      1265    0.84

>> NODE_60969_length_819_cov_2.702156  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  232.9  10.5   1.9e-67        28       345 ..       466       819 .]       445       819 .]       819    0.85

>> NODE_555777_length_343_cov_9.428571  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
 !  231.4  15.1   5.4e-67        50       356 ..       343         1 ..       343         1 ..       343    0.87

>> NODE_556454_length_261_cov_35.967391  
    score  bias    Evalue   hmmfrom    hmm to     alifrom    ali to      envfrom    env to       sq len      acc
   ------ ----- ---------   -------   -------    --------- ---------    --------- ---------    ---------    ----
